innings,over,Bowlername,Batsmanname,runs,wicket,description,nh/h,wickettype,wickethelper,extras,ballspeed(kph)
1,20.3,OC McCoy,AT Rayudu,1,false,back of a length outside leg stump. Tapped off the back foot to the sweeper-fielder on the leg side for a walking single,non-home run,no wicket,no wicket,no extra,130.941
1,20.4,OC McCoy,V Kohli,0,false,full on off  and he gets onto the front foot to tap a defensive shot to the off side. Stopped by Hetmyer at point,non-home run,no wicket,no wicket,no extra,139.334
1,20.5,OC McCoy,V Kohli,0,false,back of a length on off  and pulled along the ground to mid on. Played off the back foot,non-home run,no wicket,no wicket,no extra,133.044
1,20.6,OC McCoy,V Kohli,1,false,full on off  and going across the batsman's body. He waits for the ball to get to him  and then dabs a late cut down to third man,non-home run,no wicket,no wicket,no extra,128.583
1,21.1,D Bishoo,V Kohli,0,false,length ball landing on middle  and spinning away. Tapped off the back foot to the bowler,non-home run,no wicket,no wicket,no extra,85.006
1,21.2,D Bishoo,V Kohli,1,false,length ball outside off  but stays low! Kohli rocks back  and cuts this from near knee height to the sweeper fielder on the off side,non-home run,no wicket,no wicket,no extra,90.044
1,21.3,D Bishoo,AT Rayudu,0,false,full on middle  and Rayudu takes a small step forward before rocking back to defend,non-home run,no wicket,no wicket,no extra,83.771
1,21.4,D Bishoo,AT Rayudu,0,false,tossed up on middle  and Rayudu skips down the ground to wedge a defensive shot back to Bishoo,non-home run,no wicket,no wicket,no extra,78.906
1,21.5,D Bishoo,AT Rayudu,0,false,full on off  and Rayudu skips down again to drive to cover. Dot balls adding up,non-home run,no wicket,no wicket,no extra,83.205
1,21.6,D Bishoo,AT Rayudu,2,false,wide outside off  and Rayudu cuts with the spin past the fielder at point. Chase for Roach in the boundary  but he manages to parry the ball back before it could run into the ropes,non-home run,no wicket,no wicket,no extra,85.796
1,22.1,OC McCoy,V Kohli,1,false,back of a length outside leg stump  and nudged off the back foot to deep backward square,non-home run,no wicket,no wicket,no extra,134.723
1,22.2,OC McCoy,AT Rayudu,0,false,length ball angling across  and Rayudu misses out on the cut! Freed his arms to crunch it square  but takes a bottom edge to the keeper,non-home run,no wicket,no wicket,no extra,
1,22.3,OC McCoy,AT Rayudu,1,false,full just outside off  and Rayudu mistimes a cover drive. The ball rolls away to short cover and Kohli is off for a single towards the danger end,non-home run,no wicket,no wicket,no extra,132.518
